,0
close_4h,0.8146950368152108
resistance_level,0.26858786526382783
support_level,0.256891064735509
SMA_50,0.23185451165828597
bb_position,0.1350325444877204
stoch_%K,0.1015079644280431
buying_pressure,0.0799015695362692
CCI,0.06849312710599469
roc_4h,0.0674769920569378
volume_ratio,0.06633602034244644
volume_mean_20,0.058877640341241745
volatility_regime,0.0571803322672634
rsi_4h,0.056380485027032703
OBV,0.052317050137800844
price_vs_vwap,0.0469202790288403
vol_spike_1_5x,0.034037486475764475
macd_positive,0.0329518664806288
atr_14,0.030493639784872035
atr_ratio,0.02674662657484713
near_upper_band,0.025215329347280754
parkinson_vol,0.024883142960056802
RSI,0.02308149148203087
bullish_scenario_2,0.022135467536489064
macd_cross_down,0.019767468698914294
true_range,0.01942143613038026
momentum_alignment,0.019347417355713496
break_lower_band,0.018790148295280876
trend_alignment,0.018393115041788515
cci_oversold,0.017101936644666627
bullish_scenario_6,0.016876992910132328
cci_overbought,0.014708008172441379
above_sma50,0.014499486950691741
obv_rising_24h,0.013706302621244254
bearish_scenario_2,0.013563086092903305
oversold_reversal,0.013271382071464223
above_sma20,0.013159603594082424
stoch_overbought,0.011887892597525937
fear_greed_score,0.011639566564118261
break_upper_band,0.0107832891907035
volume_breakout,0.010276533295198748
near_lower_band,0.009202266212980804
bearish_scenario_6,0.008115439635753926
adx,0.008069437639380483
macd_rising,0.007635864552375464
bearish_scenario_3,0.006731306005279941
bearish_scenario_4,0.00628494916863663
volume,0.005862786952060478
overbought_reversal,0.005653117228030591
trending_market,0.005613124887223999
stoch_%D,0.0049382320118042
roc_24h,0.004745720876289654
macd_cross_up,0.00473316624276511
rsi_oversold,0.004359627941261963
stoch_oversold,0.003517719303059621
rsi_overbought,0.003380182363268304
bullish_scenario_3,0.0031300354582302257
bearish_scenario_1,0.002731673393777287
bullish_scenario_5,0.0024465394319491828
bullish_scenario_4,0.0023351172203743835
bollinger_width,0.00194131665351566
bullish_scenario_1,0.0018878810528100162
ema_cross_up,0.0007505549204992396
ema_cross_down,0.0005979170759022512
volume_breakdown,0.00015081236483518052
close,0.0
MACD_histogram,0.0
EMA_7,0.0
EMA_21,0.0
SMA_20,0.0
ema7_above_ema21,0.0
bollinger_upper,0.0
bollinger_lower,0.0
vwap_24h,0.0
