,rf_gini,rf_perm,rf_shap
close,0.024461771845555265,-0.00048262548262549093,0.001680804703348347
volume,0.03879684103046895,0.0024131274131273437,0.0029004384068703746
EMA_7,0.02405246190718055,0.0003217503217503026,0.0009813526662271442
EMA_21,0.02394827641545201,0.0003217503217503026,0.0008106275893109361
SMA_20,0.02431760576962079,0.0003217503217502656,0.00268394148394929
SMA_50,0.023953908768406848,-3.700743415417188e-17,0.0011820977926134896
RSI,0.03626891754946771,0.003700128700128665,0.002443646685548348
MACD_histogram,0.03402613875383258,-0.0017696267696268124,0.003933118834105957
OBV,0.031459777934101256,0.0,0.003128566462673178
bollinger_width,0.034096769196233626,0.0028957528957528713,0.0015409149999097912
CCI,0.035035609498990844,0.003539253539253514,0.0034824030568484216
stoch_%K,0.03798028944064094,0.004343629343629307,0.0049059919751922205
stoch_%D,0.03451174178302897,0.006435006435006385,0.001918041545831314
true_range,0.031192242214566665,0.0004826254826254169,0.0017584624686423197
atr_14,0.029878424124539005,-0.0016087516087516611,0.0010125846096884195
atr_ratio,0.036204412966037165,0.0030566280566280226,0.0018835018752940778
parkinson_vol,0.03430753968250915,-0.006756756756756799,0.0018615432882489239
vwap_24h,0.022964860840964673,0.002091377091377041,0.001152064149651204
price_vs_vwap,0.03517331110297927,0.008365508365508312,0.0031830354908411337
volume_mean_20,0.03652523943837044,0.008204633204633124,0.003140539477450483
volume_ratio,0.035166260328803406,-0.003217503217503248,0.001944544061714743
vol_spike_1_5x,0.0006698297239017361,0.0,3.0548731575528414e-05
buying_pressure,0.043372665085037496,0.002574002574002532,0.0083320284614358
adx,0.035556140894091565,-0.003217503217503285,0.002049377355594082
trending_market,0.0023858300887457094,0.0024131274131273805,0.00030081551360045975
volatility_regime,0.0026332988335072594,0.0006435006435006052,0.00030736723144999894
fear_greed_score,0.041261084935676325,0.0012870012870012475,0.007234230162016258
roc_4h,0.04676488691071313,0.009491634491634445,0.008521899828783125
roc_24h,0.03929304797286033,0.003217503217503174,0.0026835086332016823
bb_position,0.039425032760474724,0.0011261261261260962,0.005453580602215534
near_upper_band,0.0014725587336544008,0.002734877734877683,0.0009227583793219248
near_lower_band,0.0027385166367037512,-0.00032175032175033963,0.0011109207213697893
break_upper_band,0.0,0.0,0.0
break_lower_band,0.0,0.0,0.0
rsi_overbought,0.0013321636655135773,0.0003217503217503026,0.00010565968107540431
rsi_oversold,0.0010306777964759373,0.0001608751608751143,0.00014481948691876437
above_sma20,0.003204150284963113,0.003217503217503174,0.002015349445568616
above_sma50,0.0023169735963583975,-0.00032175032175033963,0.00046735499813893263
ema7_above_ema21,0.0025864493134220095,-0.0008043758043758306,0.00039920839950232815
ema_cross_up,0.0008768456921363993,-0.0003217503217503766,3.68716263868947e-05
ema_cross_down,0.0009078112521803045,-0.0012870012870013214,9.179449580894689e-05
macd_cross_up,0.0014337345312395128,-0.0009652509652510188,7.159423648551562e-05
macd_cross_down,0.0012999633242482195,-0.0006435006435007162,0.000201999778899534
macd_positive,0.0022978080823490886,-7.401486830834377e-17,0.0004399122798338479
macd_rising,0.0025952404841743924,0.004343629343629307,0.0005575930817409612
obv_rising_24h,0.002944961689062981,0.0017696267696267383,0.0003438783130820574
stoch_overbought,0.001770297799853743,0.0011261261261260591,0.0015195755869971122
stoch_oversold,0.002448439315125755,0.0003217503217502656,0.0010617219457202676
cci_overbought,0.0013535673745847365,0.0017696267696267014,0.0005570948066229226
cci_oversold,0.0021359994278882925,-0.0003217503217503766,0.000963643714217209
oversold_reversal,0.0006333576298251484,0.0001608751608751513,4.700772027679017e-05
overbought_reversal,0.0011208666110171038,0.0003217503217503026,0.00011440976289384019
momentum_alignment,0.0026223717863961423,0.0008043758043757565,0.0005127057669956803
volume_breakout,0.0,0.0,0.0
volume_breakdown,0.0,0.0,0.0
resistance_level,0.021954725973772505,0.0006435006435006052,0.0013579416445652843
support_level,0.0220543857035937,-0.0017696267696268124,0.0015922436646695034
trend_alignment,0.0011839154987023338,-0.0012870012870013214,0.0003066706051778502
