,xgb_weight,xgb_gain,xgb_cover,xgb_perm,xgb_shap
close,0.0,0.0,0.0,0.0006435006435006052,0.026183223
volume,0.0,0.0,0.0,0.0024131274131274174,0.111614525
EMA_7,0.0,0.0,0.0,-0.0024131274131274174,0.03735833
EMA_21,0.0,0.0,0.0,0.0,0.03203758
SMA_20,0.0,0.0,0.0,0.0,0.018314926
SMA_50,0.0,0.0,0.0,0.0,0.06420559
RSI,0.0,0.0,0.0,-0.004826254826254835,0.10543772
MACD_histogram,0.0,0.0,0.0,-0.003700128700128739,0.08152875
OBV,0.0,0.0,0.0,-0.0008043758043758306,0.12977964
bollinger_width,0.0,0.0,0.0,-0.0067567567567567615,0.046099443
CCI,0.0,0.0,0.0,-0.0028957528957529455,0.086121656
stoch_%K,0.0,0.0,0.0,-0.0001608751608751513,0.06460829
stoch_%D,0.0,0.0,0.0,0.004826254826254835,0.08005343
true_range,0.0,0.0,0.0,-0.0033783783783783994,0.054657318
atr_14,0.0,0.0,0.0,0.0024131274131274174,0.039820384
atr_ratio,0.0,0.0,0.0,0.003700128700128702,0.07400509
parkinson_vol,0.0,0.0,0.0,-0.0003217503217503026,0.08510163
vwap_24h,0.0,0.0,0.0,0.0012870012870012844,0.060831714
price_vs_vwap,0.0,0.0,0.0,0.001126126126126133,0.09777518
volume_mean_20,0.0,0.0,0.0,-0.004021879021879042,0.08359493
volume_ratio,0.0,0.0,0.0,0.005469755469755477,0.06610337
vol_spike_1_5x,0.0,0.0,0.0,0.0,0.0003322183
buying_pressure,0.0,0.0,0.0,-0.0038610038610038533,0.07230935
adx,0.0,0.0,0.0,-0.00305662805662806,0.06953119
trending_market,0.0,0.0,0.0,-0.0009652509652509819,0.0014826214
volatility_regime,0.0,0.0,0.0,0.0009652509652509448,0.005370785
fear_greed_score,0.0,0.0,0.0,0.007400257400257404,0.10568265
roc_4h,0.0,0.0,0.0,0.007722007722007707,0.1358777
roc_24h,0.0,0.0,0.0,0.005308880308880289,0.09182801
bb_position,0.0,0.0,0.0,-0.0025740025740025687,0.07418584
near_upper_band,0.0,0.0,0.0,0.0001608751608751513,0.0004745822
near_lower_band,0.0,0.0,0.0,-0.0001608751608751513,0.0008801554
break_upper_band,0.0,0.0,0.0,0.0,0.0
break_lower_band,0.0,0.0,0.0,0.0,0.0
rsi_overbought,0.0,0.0,0.0,0.0006435006435006052,0.0051043653
rsi_oversold,0.0,0.0,0.0,-0.0008043758043758306,0.003806308
above_sma20,0.0,0.0,0.0,-0.001126126126126133,0.0050203307
above_sma50,0.0,0.0,0.0,-0.0006435006435006793,0.0041812416
ema7_above_ema21,0.0,0.0,0.0,-0.0009652509652509819,0.011141382
ema_cross_up,0.0,0.0,0.0,0.0,0.0013564493
ema_cross_down,0.0,0.0,0.0,-0.0003217503217503026,0.0015632325
macd_cross_up,0.0,0.0,0.0,0.0001608751608751513,0.00176884
macd_cross_down,0.0,0.0,0.0,-0.002091377091377078,0.0037731421
macd_positive,0.0,0.0,0.0,0.0003217503217502656,0.003688513
macd_rising,0.0,0.0,0.0,-0.0006435006435006422,0.025151083
obv_rising_24h,0.0,0.0,0.0,0.0033783783783783625,0.0071559343
stoch_overbought,0.0,0.0,0.0,-0.0008043758043758306,0.0047779917
stoch_oversold,0.0,0.0,0.0,0.0,6.733021e-05
cci_overbought,0.0,0.0,0.0,-0.0014478764478764357,0.0065967613
cci_oversold,0.0,0.0,0.0,-0.0006435006435006422,0.0022349083
oversold_reversal,0.0,0.0,0.0,0.0014478764478764357,0.0028576732
overbought_reversal,0.0,0.0,0.0,-0.00032175032175033963,0.0032062363
momentum_alignment,0.0,0.0,0.0,-0.0014478764478764727,0.009542905
volume_breakout,0.0,0.0,0.0,0.0,0.0
volume_breakdown,0.0,0.0,0.0,0.0,0.0
resistance_level,0.0,0.0,0.0,-0.0009652509652509819,0.04970872
support_level,0.0,0.0,0.0,0.0,0.04140094
trend_alignment,0.0,0.0,0.0,-0.0017696267696267753,0.01786489
